,Unnamed: 0.1,Unnamed: 0,class,order,family,genus,species,subspecies,common_name,female_maturity_d,litter_or_clutch_size_n,litters_or_clutches_per_y,adult_body_mass_g,maximum_longevity_y,gestation_d,weaning_d,birth_or_hatching_weight_g,weaning_weight_g,egg_mass_g,incubation_d,fledging_age_d,longevity_y,male_maturity_d,inter_litter_or_interbirth_interval_y,female_body_mass_g,male_body_mass_g,no_sex_body_mass_g,egg_width_mm,egg_length_mm,fledging_mass_g,adult_svl_cm,male_svl_cm,female_svl_cm,birth_or_hatching_svl_cm,female_svl_at_maturity_cm,female_body_mass_at_maturity_g,no_sex_svl_cm,no_sex_maturity_d,sciname,assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
4306,4306,4306,Aves,Passeriformes,Maluridae,Amytornis,dorotheae,-999,Carpentarian Grasswren,-999.0,2.25,-999.0,23.25,-999.0,-999.0,-999.0,-999.0,-999.0,2.51,-999.0,-999.0,-999.0,-999.0,-999.0,22.2,24.3,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Amytornis dorotheae,93936976,22703786,Amytornis dorotheae,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MALURIDAE,Amytornis,dorotheae,,,,"(Mathews, 1914)",Vulnerable,A2c,3.1,Decreasing,Global
4307,4307,4307,Aves,Passeriformes,Maluridae,Amytornis,goyderi,-999,Eyrean Grasswren,-999.0,2.45,-999.0,16.7,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,16.4,17.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Amytornis goyderi,93937263,22703795,Amytornis goyderi,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MALURIDAE,Amytornis,goyderi,,,,"(Gould, 1875)",Least Concern,,3.1,Stable,Global
4308,4308,4308,Aves,Passeriformes,Maluridae,Amytornis,housei,-999,Black Grasswren,-999.0,2.0,-999.0,28.95,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,27.7,30.2,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Amytornis housei,93937574,22703807,Amytornis housei,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MALURIDAE,Amytornis,housei,,,,"(Milligan, 1902)",Near Threatened,B1b(i),3.1,Stable,Global
4309,4309,4309,Aves,Passeriformes,Maluridae,Amytornis,merrotsyi,-999,Short-tailed Grasswren,-999.0,2.45,-999.0,19.975,-999.0,-999.0,-999.0,-999.0,-999.0,2.77,-999.0,-999.0,-999.0,-999.0,-999.0,19.1,20.25,22.5,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Amytornis merrotsyi,95043422,22732155,Amytornis merrotsyi,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MALURIDAE,Amytornis,merrotsyi,,,,"Mellor, 1913",Near Threatened,B2b(ii),3.1,Stable,Global
4310,4310,4310,Aves,Passeriformes,Maluridae,Amytornis,modestus,-999,Thick-billed Grasswren,-999.0,2.0,-999.0,23.05,-999.0,-999.0,-999.0,-999.0,-999.0,2.79,-999.0,-999.0,-999.0,-999.0,-999.0,22.1,24.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Amytornis modestus,104084610,103684164,Amytornis modestus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MALURIDAE,Amytornis,modestus,,,,"(North, 1902)",Least Concern,,3.1,Decreasing,Global
4311,4311,4311,Aves,Passeriformes,Maluridae,Amytornis,purnelli,-999,Dusky Grasswren,-999.0,2.45,-999.0,21.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,20.0,22.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Amytornis purnelli,95116660,22735659,Amytornis purnelli,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MALURIDAE,Amytornis,purnelli,,,,"(Mathews, 1914)",Least Concern,,3.1,Increasing,Global
4312,4312,4312,Aves,Passeriformes,Maluridae,Amytornis,striatus,-999,Striated Grasswren,-999.0,2.45,-999.0,19.75,-999.0,-999.0,-999.0,-999.0,-999.0,2.77,-999.0,-999.0,-999.0,-999.0,-999.0,19.1,20.25,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Amytornis striatus,95081716,22734297,Amytornis striatus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MALURIDAE,Amytornis,striatus,,,,"(Gould, 1840)",Least Concern,,3.1,Decreasing,Global
4313,4313,4313,Aves,Passeriformes,Maluridae,Amytornis,textilis,-999,Western Grasswren,-999.0,2.0,-999.0,23.05,-999.0,-999.0,-999.0,-999.0,-999.0,2.79,-999.0,-999.0,-999.0,-999.0,-999.0,22.1,24.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Amytornis textilis,118653536,103684117,Amytornis textilis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MALURIDAE,Amytornis,textilis,,,,"(Dumont, 1824)",Least Concern,,3.1,Decreasing,Global
4314,4314,4314,Aves,Passeriformes,Maluridae,Amytornis,woodwardi,-999,White-throated Grasswren,-999.0,2.0,-999.0,35.05,-999.0,-999.0,-999.0,-999.0,-999.0,2.99,-999.0,-999.0,-999.0,-999.0,-999.0,33.4,36.8,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Amytornis woodwardi,93936735,22703783,Amytornis woodwardi,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MALURIDAE,Amytornis,woodwardi,,,,"Hartert, 1905",Vulnerable,"B1ab(ii,iii,iv,v)",3.1,Decreasing,Global
4315,4315,4315,Aves,Passeriformes,Maluridae,Chenorhamphus,grayi,-999,Broad-billed Fairywren,-999.0,-999.0,-999.0,12.6,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,11.85,13.375,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Chenorhamphus grayi,118652681,22703715,Chenorhamphus grayi,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MALURIDAE,Chenorhamphus,grayi,,,,"(Wallace, 1862)",Least Concern,,3.1,Decreasing,Global
4317,4317,4317,Aves,Passeriformes,Maluridae,Malurus,alboscapulatus,-999,White-shouldered Fairywren,-999.0,2.8,-999.0,9.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,8.0,9.0,10.8,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Malurus alboscapulatus,93934034,22703725,Malurus alboscapulatus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MALURIDAE,Malurus,alboscapulatus,,,,"Meyer, 1874",Least Concern,,3.1,Stable,Global
4318,4318,4318,Aves,Passeriformes,Maluridae,Malurus,amabilis,-999,Lovely Fairywren,-999.0,3.0,-999.0,8.65,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,8.2,9.1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Malurus amabilis,93935095,22703748,Malurus amabilis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MALURIDAE,Malurus,amabilis,,,,"Gould, 1852",Least Concern,,3.1,Stable,Global
4319,4319,4319,Aves,Passeriformes,Maluridae,Malurus,coronatus,-999,Purple-crowned Fairywren,-999.0,2.45,-999.0,11.1,-999.0,-999.0,-999.0,-999.0,-999.0,1.46,-999.0,-999.0,-999.0,-999.0,-999.0,10.8,11.4,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Malurus coronatus,93935604,22703760,Malurus coronatus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MALURIDAE,Malurus,coronatus,,,,"Gould, 1858",Least Concern,,3.1,Decreasing,Global
4320,4320,4320,Aves,Passeriformes,Maluridae,Malurus,cyaneus,-999,Superb Fairywren,-999.0,3.3,-999.0,10.5,-999.0,-999.0,-999.0,-999.0,-999.0,1.41,-999.0,-999.0,-999.0,-999.0,-999.0,10.25,11.15,9.3,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Malurus cyaneus,93934554,22703736,Malurus cyaneus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MALURIDAE,Malurus,cyaneus,,,,"(Ellis, 1782)",Least Concern,,3.1,Stable,Global
4321,4321,4321,Aves,Passeriformes,Maluridae,Malurus,cyanocephalus,-999,Emperor Fairywren,-999.0,3.0,2.0,13.25,-999.0,-999.0,-999.0,-999.0,-999.0,1.37,13.5,13.0,-999.0,-999.0,-999.0,11.75,13.5,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Malurus cyanocephalus,118652948,22703765,Malurus cyanocephalus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MALURIDAE,Malurus,cyanocephalus,,,,"(Quoy & Gaimard, 1830)",Least Concern,,3.1,Stable,Global
4322,4322,4322,Aves,Passeriformes,Maluridae,Malurus,elegans,-999,Red-winged Fairywren,-999.0,2.45,-999.0,9.75,-999.0,-999.0,-999.0,-999.0,-999.0,1.11,-999.0,-999.0,-999.0,-999.0,-999.0,9.3,9.9,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Malurus elegans,130220690,22703752,Malurus elegans,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MALURIDAE,Malurus,elegans,,,,"Gould, 1837",Least Concern,,3.1,Decreasing,Global
4323,4323,4323,Aves,Passeriformes,Maluridae,Malurus,lamberti,-999,Variegated Fairywren,-999.0,3.5,-999.0,8.15,-999.0,-999.0,-999.0,-999.0,-999.0,1.355,-999.0,-999.0,-999.0,-999.0,-999.0,8.05,8.25,7.9,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Malurus lamberti,155353765,155093173,Malurus lamberti,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MALURIDAE,Malurus,lamberti,,,,"Vigors &amp; Horsfield, 1827",Least Concern,,3.1,Stable,Global
4324,4324,4324,Aves,Passeriformes,Maluridae,Malurus,leucopterus,-999,White-winged Fairywren,-999.0,3.5,-999.0,7.4,-999.0,-999.0,-999.0,-999.0,-999.0,1.09,-999.0,-999.0,-999.0,-999.0,-999.0,7.2,7.6,7.375,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Malurus leucopterus,93934383,22703732,Malurus leucopterus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MALURIDAE,Malurus,leucopterus,,,,"Dumont, 1824",Least Concern,,3.1,Stable,Global
4325,4325,4325,Aves,Passeriformes,Maluridae,Malurus,melanocephalus,-999,Red-backed Fairywren,-999.0,3.5,-999.0,7.9,-999.0,-999.0,-999.0,-999.0,-999.0,1.14,-999.0,-999.0,-999.0,-999.0,-999.0,7.9,7.9,7.7,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Malurus melanocephalus,93934219,22703728,Malurus melanocephalus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MALURIDAE,Malurus,melanocephalus,,,,"(Latham, 1801)",Least Concern,,3.1,Stable,Global
4326,4326,4326,Aves,Passeriformes,Maluridae,Malurus,pulcherrimus,-999,Blue-breasted Fairywren,-999.0,3.0,-999.0,9.2,-999.0,-999.0,-999.0,-999.0,-999.0,1.25,-999.0,-999.0,-999.0,-999.0,-999.0,9.0,9.4,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Malurus pulcherrimus,131281600,22703756,Malurus pulcherrimus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MALURIDAE,Malurus,pulcherrimus,,,,"Gould, 1844",Least Concern,,3.1,Stable,Global
4327,4327,4327,Aves,Passeriformes,Maluridae,Malurus,splendens,-999,Splendid Fairywren,-999.0,3.0,-999.0,9.3125,-999.0,-999.0,-999.0,-999.0,-999.0,1.325,-999.0,-999.0,-999.0,-999.0,-999.0,8.95,9.6875,8.8,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Malurus splendens,93934738,22703740,Malurus splendens,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MALURIDAE,Malurus,splendens,,,,"(Quoy & Gaimard, 1830)",Least Concern,,3.1,Stable,Global
4329,4329,4329,Aves,Passeriformes,Maluridae,Stipiturus,malachurus,-999,Southern Emu-wren,-999.0,3.0,-999.0,7.525,-999.0,-999.0,-999.0,-999.0,-999.0,1.23,-999.0,-999.0,-999.0,-999.0,-999.0,7.8,7.7,7.3,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Stipiturus malachurus,93936110,22703772,Stipiturus malachurus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MALURIDAE,Stipiturus,malachurus,,,,"(Shaw, 1798)",Least Concern,,3.1,Decreasing,Global
4331,4331,4331,Aves,Passeriformes,Maluridae,Stipiturus,ruficeps,-999,Rufous-crowned Emu-wren,-999.0,2.45,-999.0,5.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.14,-999.0,-999.0,-999.0,-999.0,-999.0,4.8,5.1,5.075,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Stipiturus ruficeps,93935933,22703768,Stipiturus ruficeps,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MALURIDAE,Stipiturus,ruficeps,,,,"Campbell, 1899",Least Concern,,3.1,Decreasing,Global
4332,4332,4332,Aves,Passeriformes,Melanocharitidae,Melanocharis,longicauda,-999,Mid-mountain Berrypecker,-999.0,-999.0,-999.0,11.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,13.0,11.0,11.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Melanocharis longicauda,118815524,22718140,Melanocharis longicauda,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MELANOCHARITIDAE,Melanocharis,longicauda,,,,"Salvadori, 1876",Least Concern,,3.1,Unknown,Global
4333,4333,4333,Aves,Passeriformes,Melanocharitidae,Melanocharis,nigra,-999,Black Berrypecker,-999.0,-999.0,-999.0,13.2,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,15.225,13.15,10.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Melanocharis nigra,118815277,22718137,Melanocharis nigra,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MELANOCHARITIDAE,Melanocharis,nigra,,,,"(Lesson, 1830)",Least Concern,,3.1,Unknown,Global
4334,4334,4334,Aves,Passeriformes,Melanocharitidae,Melanocharis,striativentris,-999,Streaked Berrypecker,-999.0,-999.0,-999.0,19.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,19.1,16.5,23.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Melanocharis striativentris,94569848,22718146,Melanocharis striativentris,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MELANOCHARITIDAE,Melanocharis,striativentris,,,,"Salvadori, 1894",Least Concern,,3.1,Unknown,Global
4335,4335,4335,Aves,Passeriformes,Melanocharitidae,Melanocharis,versteri,-999,Fan-tailed Berrypecker,-999.0,-999.0,-999.0,11.9,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.225,11.8,11.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Melanocharis versteri,118815828,22718143,Melanocharis versteri,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MELANOCHARITIDAE,Melanocharis,versteri,,,,"(Finsch, 1876)",Least Concern,,3.1,Unknown,Global
4339,4339,4339,Aves,Passeriformes,Melanocharitidae,Toxorhamphus,novaeguineae,-999,Yellow-bellied Longbill,-999.0,-999.0,-999.0,13.95,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,10.0,13.95,15.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Toxorhamphus novaeguineae,94570339,22718156,Toxorhamphus novaeguineae,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MELANOCHARITIDAE,Toxorhamphus,novaeguineae,,,,"(Lesson, 1827)",Least Concern,,3.1,Unknown,Global
4340,4340,4340,Aves,Passeriformes,Melanocharitidae,Toxorhamphus,poliopterus,-999,Slaty-headed Longbill,-999.0,1.0,-999.0,11.0,-999.0,-999.0,-999.0,-999.0,-999.0,4.15,-999.0,-999.0,-999.0,-999.0,-999.0,10.7,12.4,11.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Toxorhamphus poliopterus,94570172,22718152,Toxorhamphus poliopterus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MELANOCHARITIDAE,Toxorhamphus,poliopterus,,,,"(Sharpe, 1883)",Least Concern,,3.1,Unknown,Global
4345,4345,4345,Aves,Passeriformes,Meliphagidae,Acanthagenys,rufogularis,-999,Spiny-cheeked Honeyeater,-999.0,2.3,-999.0,47.8,-999.0,-999.0,-999.0,-999.0,-999.0,5.45,-999.0,-999.0,-999.0,-999.0,-999.0,41.4,47.1,47.975,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Acanthagenys rufogularis,93969319,22704451,Acanthagenys rufogularis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MELIPHAGIDAE,Acanthagenys,rufogularis,,,,"Gould, 1838",Least Concern,,3.1,Decreasing,Global
4346,4346,4346,Aves,Passeriformes,Meliphagidae,Acanthorhynchus,superciliosus,-999,Western Spinebill,-999.0,1.48,-999.0,9.75,-999.0,-999.0,-999.0,-999.0,-999.0,1.73,-999.0,-999.0,-999.0,-999.0,-999.0,9.0,10.5,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Acanthorhynchus superciliosus,93967859,22704424,Acanthorhynchus superciliosus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MELIPHAGIDAE,Acanthorhynchus,superciliosus,,,,"Gould, 1837",Least Concern,,3.1,Decreasing,Global
4347,4347,4347,Aves,Passeriformes,Meliphagidae,Acanthorhynchus,tenuirostris,-999,Eastern Spinebill,-999.0,2.1,-999.0,9.7875,14.0,-999.0,-999.0,-999.0,-999.0,1.79,-999.0,-999.0,14.0,-999.0,-999.0,9.725,11.25,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Acanthorhynchus tenuirostris,93967654,22704421,Acanthorhynchus tenuirostris,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MELIPHAGIDAE,Acanthorhynchus,tenuirostris,,,,"(Latham, 1801)",Least Concern,,3.1,Decreasing,Global
4348,4348,4348,Aves,Passeriformes,Meliphagidae,Anthochaera,carunculata,-999,Red Wattlebird,-999.0,2.0,-999.0,102.55,-999.0,-999.0,-999.0,-999.0,-999.0,7.77,-999.0,-999.0,-999.0,-999.0,-999.0,96.85,114.1,121.75,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Anthochaera carunculata,130382437,22704466,Anthochaera carunculata,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MELIPHAGIDAE,Anthochaera,carunculata,,,,"(White, 1790)",Least Concern,,3.1,Stable,Global
4349,4349,4349,Aves,Passeriformes,Meliphagidae,Anthochaera,chrysoptera,-999,Little Wattlebird,-999.0,2.0,-999.0,66.075,10.16666667,-999.0,-999.0,-999.0,-999.0,5.68,-999.0,-999.0,10.16666667,-999.0,-999.0,61.35,77.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Anthochaera chrysoptera,118664903,22704460,Anthochaera chrysoptera,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MELIPHAGIDAE,Anthochaera,chrysoptera,,,,"(Latham, 1801)",Least Concern,,3.1,Unknown,Global
4350,4350,4350,Aves,Passeriformes,Meliphagidae,Anthochaera,lunulata,-999,Western Wattlebird,-999.0,2.0,-999.0,63.8,10.16666667,-999.0,-999.0,-999.0,-999.0,5.68,-999.0,-999.0,10.16666667,-999.0,-999.0,59.7,71.35,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Anthochaera lunulata,93969512,22704454,Anthochaera lunulata,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MELIPHAGIDAE,Anthochaera,lunulata,,,,"Gould, 1838",Least Concern,,3.1,Increasing,Global
4351,4351,4351,Aves,Passeriformes,Meliphagidae,Anthochaera,paradoxa,-999,Yellow Wattlebird,-999.0,2.45,-999.0,145.9,-999.0,-999.0,-999.0,-999.0,-999.0,9.8,-999.0,-999.0,-999.0,-999.0,-999.0,123.0,168.5,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Anthochaera paradoxa,93970065,22704469,Anthochaera paradoxa,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MELIPHAGIDAE,Anthochaera,paradoxa,,,,"(Daudin, 1800)",Least Concern,,3.1,Decreasing,Global
4352,4352,4352,Aves,Passeriformes,Meliphagidae,Anthochaera,phrygia,-999,Regent Honeyeater,-999.0,2.1,-999.0,40.15,-999.0,-999.0,-999.0,-999.0,-999.0,3.93,-999.0,-999.0,-999.0,-999.0,-999.0,36.6,43.7,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Anthochaera phrygia,130992272,22704415,Anthochaera phrygia,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MELIPHAGIDAE,Anthochaera,phrygia,,,,"(Shaw, 1794)",Critically Endangered,A2bce,3.1,Decreasing,Global
4353,4353,4353,Aves,Passeriformes,Meliphagidae,Anthornis,melanocephala,-999,Chatham Bellbird,-999.0,3.11,-999.0,27.15,-999.0,-999.0,-999.0,-999.0,-999.0,3.28,-999.0,-999.0,-999.0,-999.0,-999.0,23.6,30.7,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Anthornis melanocephala,94997726,22728814,Anthornis melanocephala,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MELIPHAGIDAE,Anthornis,melanocephala,,,,Gray 1843,Extinct,,3.1,,Global
4354,4354,4354,Aves,Passeriformes,Meliphagidae,Anthornis,melanura,-999,New Zealand Bellbird,-999.0,3.11,-999.0,27.15,-999.0,-999.0,-999.0,-999.0,-999.0,3.28,-999.0,-999.0,-999.0,-999.0,-999.0,23.6,30.7,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Anthornis melanura,110985953,22704447,Anthornis melanura,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MELIPHAGIDAE,Anthornis,melanura,,,,"(Sparrman, 1786)",Least Concern,,3.1,Decreasing,Global
4355,4355,4355,Aves,Passeriformes,Meliphagidae,Ashbyia,lovensis,-999,Gibberbird,-999.0,2.9,-999.0,17.5,-999.0,-999.0,-999.0,-999.0,-999.0,2.38,-999.0,-999.0,-999.0,-999.0,-999.0,17.1,17.9,17.25,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Ashbyia lovensis,110986651,22704487,Ashbyia lovensis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MELIPHAGIDAE,Ashbyia,lovensis,,,,"(Ashby, 1911)",Least Concern,,3.1,Increasing,Global
4356,4356,4356,Aves,Passeriformes,Meliphagidae,Bolemoreus,frenatus,-999,Bridled Honeyeater,-999.0,2.0,-999.0,34.4,-999.0,-999.0,-999.0,-999.0,-999.0,3.67,-999.0,-999.0,-999.0,-999.0,-999.0,30.3,36.9,35.275,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Bolemoreus frenatus,93949704,22704043,Bolemoreus frenatus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MELIPHAGIDAE,Bolemoreus,frenatus,,,,"(Ramsay, 1875)",Least Concern,,3.1,Stable,Global
4357,4357,4357,Aves,Passeriformes,Meliphagidae,Bolemoreus,hindwoodi,-999,Eungella Honeyeater,-999.0,2.0,-999.0,22.95,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,21.4,24.5,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Bolemoreus hindwoodi,155298246,22704046,Bolemoreus hindwoodi,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MELIPHAGIDAE,Bolemoreus,hindwoodi,,,,"(Longmore & Boles, 1983)",Least Concern,,3.1,Stable,Global
4358,4358,4358,Aves,Passeriformes,Meliphagidae,Caligavis,chrysops,-999,Yellow-faced Honeyeater,-999.0,2.375,-999.0,16.525,12.83333333,-999.0,-999.0,-999.0,-999.0,2.34,-999.0,-999.0,12.83333333,-999.0,-999.0,16.0,17.6,16.625,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Caligavis chrysops,130247974,22704052,Caligavis chrysops,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MELIPHAGIDAE,Caligavis,chrysops,,,,"(Latham, 1801)",Least Concern,,3.1,Decreasing,Global
4360,4360,4360,Aves,Passeriformes,Meliphagidae,Caligavis,subfrenata,-999,Black-throated Honeyeater,-999.0,-999.0,-999.0,32.6,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,27.0,32.8,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Caligavis subfrenata,130247738,22704037,Caligavis subfrenata,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MELIPHAGIDAE,Caligavis,subfrenata,,,,"(Salvadori, 1876)",Least Concern,,3.1,Stable,Global
